[SYS] 2023/12/27 - 16:53:34 | One API  started 
[SYS] 2023/12/27 - 16:53:34 | using MySQL as database 
[FATAL] 2023/12/27 - 16:53:34 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2023/12/27 - 16:53:35 | One API  started 
[SYS] 2023/12/27 - 16:53:35 | using MySQL as database 
[SYS] 2023/12/27 - 16:53:35 | database migration started 
[SYS] 2023/12/27 - 16:53:35 | database migrated 
[SYS] 2023/12/27 - 16:53:35 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2023/12/27 - 16:53:35 | initializing token encoders 
[SYS] 2023/12/27 - 16:53:35 | token encoders initialized 
[GIN] 2023/12/27 - 16:54:05 | 20231227165405639183108cgw4n5hL | 200 |      92.654µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:54:27 | 20231227165427496078962O5lmwvgk | 200 |   17.283563ms |   10.10.111.146 |     GET /
[GIN] 2023/12/27 - 16:54:27 | 20231227165427555214641USAgCW1H | 200 |     128.587µs |   10.10.111.146 |     GET /api/status
[GIN] 2023/12/27 - 16:54:27 | 20231227165427574487444oamoTYVp | 200 |     103.747µs |   10.10.111.146 |     GET /api/notice
[GIN] 2023/12/27 - 16:54:27 | 202312271654275746455561Woo7BN0 | 200 |     561.439µs |   10.10.111.146 |     GET /api/home_page_content
[GIN] 2023/12/27 - 16:54:35 | 20231227165435738038813b7bMWAV2 | 200 |      66.876µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:54:53 | 20231227165453910322864T4F242CG | 200 |     487.716µs |   10.10.111.146 |     GET /static/js/651.213b996e.chunk.js
[GIN] 2023/12/27 - 16:54:53 | 20231227165453914849831mUhwwSMh | 200 |     234.254µs |   10.10.111.146 |     GET /api/about
[GIN] 2023/12/27 - 16:54:55 | 2023122716545572195491ry9nwH8F | 401 |      270.72µs |   10.10.111.146 |     GET /api/channel/?p=0
[GIN] 2023/12/27 - 16:54:55 | 2023122716545598990587EJYGmvgi | 200 |     281.603µs |   10.10.111.146 |     GET /login?expired=true
[GIN] 2023/12/27 - 16:54:55 | 202312271654551612583908RxPLTYV | 200 |     230.927µs |   10.10.111.146 |     GET /api/status
[GIN] 2023/12/27 - 16:55:01 | 20231227165501168133273UtTn19pc | 200 |   53.585624ms |   10.10.111.146 |    POST /api/user/login
[GIN] 2023/12/27 - 16:55:01 | 20231227165501271874134UL4u4XY3 | 200 |     772.671µs |   10.10.111.146 |     GET /api/user/self
[GIN] 2023/12/27 - 16:55:05 | 20231227165505844988222efXrAGxv | 200 |      37.237µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:55:21 | 20231227165521186958690TXJrNL0o | 200 |   70.309317ms |   10.10.111.146 |     PUT /api/user/self
[GIN] 2023/12/27 - 16:55:25 | 20231227165525187418048bcmGU8Vq | 200 |     296.843µs |   10.10.111.146 |     GET /api/notice
[GIN] 2023/12/27 - 16:55:25 | 20231227165525187592880DavB2yBf | 200 |     176.064µs |   10.10.111.146 |     GET /api/home_page_content
[GIN] 2023/12/27 - 16:55:26 | 20231227165526794623174Blmmb7J7 | 200 |   13.614718ms |   10.10.111.146 |     GET /api/channel/?p=0
[GIN] 2023/12/27 - 16:55:28 | 20231227165528400072603GkbNUfGT | 200 |      94.706µs |   10.10.111.146 |     GET /api/group/
[GIN] 2023/12/27 - 16:55:28 | 202312271655283998743301sAlRhKJ | 200 |     357.689µs |   10.10.111.146 |     GET /api/channel/models
[GIN] 2023/12/27 - 16:55:35 | 20231227165535934220222fmB6jCFj | 200 |      54.888µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:56:06 | 202312271656068557701bYlW4MQp | 200 |      38.225µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:56:36 | 20231227165636117197443aCyEfIbF | 200 |      36.712µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:57:06 | 20231227165706217439416DE1nfY98 | 200 |      36.713µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:57:36 | 20231227165736294124278FfZxpfUd | 200 |       43.46µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:58:06 | 20231227165806366346843Vi3L0ilA | 200 |      61.476µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:58:36 | 20231227165836460141807ALIt497P | 200 |       36.16µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:59:06 | 20231227165906559844544UparXIVx | 200 |      30.836µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 16:59:36 | 20231227165936617185795kWZFH9pu | 200 |      58.939µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:00:06 | 20231227170006695999226r2Mzn9T2 | 200 |      33.533µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:00:36 | 20231227170036783880282cIPFWMhN | 200 |      45.406µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:01:06 | 20231227170106897532083H9C2qJmY | 200 |      35.461µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:01:36 | 20231227170136956874479SilRy7dI | 200 |      51.384µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:02:07 | 2023122717020758107717y15SyZWt | 200 |      41.835µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:02:37 | 202312271702371248548888twNMW49 | 200 |      47.595µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:03:07 | 202312271703071800500734ZkvVrM6 | 200 |      43.462µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:03:37 | 20231227170337225173788HcSCGNro | 200 |      35.587µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:04:07 | 20231227170407317509514y6tIlZhM | 200 |       41.05µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:04:37 | 20231227170437396821466A7AbduaH | 200 |      31.263µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:05:07 | 20231227170507505944443F58AK6uS | 200 |      32.819µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:05:37 | 20231227170537602241530xDbyBvmv | 200 |      66.598µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:06:07 | 20231227170607705459442cyAvU0QD | 200 |      47.658µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:06:37 | 20231227170637770680059LxrAFhYg | 200 |      48.936µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:07:07 | 20231227170707865004679uqr7jclo | 200 |      47.591µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:07:37 | 20231227170737989251607t7Pc3qrD | 200 |      57.173µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:08:08 | 2023122717080856891703YUUy1evz | 200 |      27.205µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:08:38 | 20231227170838153401840rDcO4qL5 | 200 |      35.672µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:09:08 | 20231227170908233051538Ci7s8F9u | 200 |      28.098µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:09:38 | 20231227170938329451588bFVmsevO | 200 |      89.209µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:10:08 | 20231227171008416922506O9Q4ixZm | 200 |      61.869µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:10:38 | 20231227171038497108573RZbN97mg | 200 |      52.752µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:11:08 | 202312271711085890738636ecXR8YM | 200 |      51.397µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:11:38 | 20231227171138691495549x4zm3Vkb | 200 |      52.813µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:12:08 | 20231227171208745373323z7hya1h1 | 200 |      50.732µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:12:38 | 20231227171238840832964MUhFEvRs | 200 |      53.621µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:13:08 | 20231227171308929304722wEAsrxwd | 200 |      56.497µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:13:38 | 20231227171338993079177yZUs5kJB | 200 |      53.884µs |       127.0.0.1 |     GET /api/status
