[SYS] 2024/01/02 - 10:29:25 | One API  started 
[SYS] 2024/01/02 - 10:29:25 | using MySQL as database 
[FATAL] 2024/01/02 - 10:29:25 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2024/01/02 - 10:29:26 | One API  started 
[SYS] 2024/01/02 - 10:29:26 | using MySQL as database 
[SYS] 2024/01/02 - 10:29:26 | database migration started 
[SYS] 2024/01/02 - 10:29:26 | database migrated 
[SYS] 2024/01/02 - 10:29:26 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2024/01/02 - 10:29:26 | initializing token encoders 
[SYS] 2024/01/02 - 10:29:26 | token encoders initialized 
[GIN] 2024/01/02 - 10:29:56 | 20240102102956809347882JOJMCe4l | 200 |      54.887µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:30:26 | 20240102103026913088845NuZt8rm5 | 200 |      28.897µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:30:56 | 20240102103056971725995Y0m9IL33 | 200 |      53.533µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:31:27 | 2024010210312786810166dat2hRoz | 200 |      62.806µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:31:57 | 20240102103157163875941ND6ZHig3 | 200 |      26.242µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:32:27 | 20240102103227263861195teIj215K | 200 |      31.394µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:32:57 | 20240102103257328942177kklZyHTd | 200 |      33.639µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:33:27 | 20240102103327395184835NJHfnlFb | 200 |      42.067µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:33:57 | 20240102103357501599642lE229fa3 | 200 |      42.243µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:34:27 | 20240102103427570336945xzKt8cDo | 200 |      33.762µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:34:57 | 20240102103457642704020EI6ba4nN | 200 |      49.862µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:35:27 | 20240102103527737193278VwG9FtMv | 200 |      55.112µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:35:57 | 20240102103557849376537fLNRe5Fr | 200 |      46.845µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:36:27 | 20240102103627912905976VUG2IWOt | 200 |      33.191µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:36:58 | 2024010210365810732644rFrl3did | 200 |      46.122µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:37:28 | 20240102103728120958044JFdqFOMm | 200 |      86.065µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:37:58 | 20240102103758181779720Rtuc21dr | 200 |      30.439µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:38:28 | 20240102103828276987923vki9CexM | 200 |      54.543µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:38:58 | 202401021038583288656677lby702M | 200 |      31.324µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:39:28 | 20240102103928426279379F3VKGPoY | 200 |      87.919µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:39:58 | 20240102103958549837546Zp55V4Cy | 200 |      31.338µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:40:28 | 20240102104028636871907vQrwwwLb | 200 |      34.272µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:40:58 | 202401021040586776872410PBOk78w | 200 |      54.837µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:41:28 | 20240102104128765779586TIkv8s4A | 200 |      93.848µs |       127.0.0.1 |     GET /api/status
